provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd
gemini,EX01,30,0.3171390991552725,0.04432710926580944,0.025743951991828364,0.02313520838084704,0.009605755391033304
gemini,EX02,30,0.3706424041800753,0.03965369757700816,0.025714596701371977,0.024362876202394967,0.007208698449979538
gemini,EX03,30,0.3020209083413694,0.03901728810368258,0.026479456076216927,0.025265270280768526,0.006497293199886358
gemini,EX04,30,0.22614296465069625,0.03937969387787914,0.02684797974544883,0.025663460814513317,0.006686658592357118
gemini,EX05,30,0.3768996358456318,0.04253703507002715,0.026007793806574624,0.02380243467985288,0.008847197715002272
gemini,SU01,30,0.252224738562618,0.042339859871135574,0.026369894267447683,0.024798835577132916,0.00862838197541608
gemini,SU02,30,0.3361910264913878,0.048116080494309134,0.023859764698821506,0.020866066169789366,0.012347862689779183
gemini,SU03,30,0.23613803457713725,0.04722490406142487,0.026254108551180808,0.02386865990227438,0.011009765229512459
gemini,SU04,30,0.33314690733574925,0.04674148037545707,0.026111947376555783,0.02379628944413792,0.011202274444414217
gemini,SU05,30,0.2866771310681653,0.04882837919065065,0.0244754993920736,0.021224470952333485,0.012611284748021907
qwen,CP01,30,0.2319270420456009,0.04841568419262402,0.025718394466624703,0.02285887415165,0.011694200266758355
qwen,CP02,30,0.2368600340807145,0.04306994654181644,0.024841022763396246,0.022863726309871213,0.009644539656075474
qwen,CP03,30,0.20800125363119787,0.052227584724330485,0.024431338994926114,0.02086026461165702,0.013645933486999863
qwen,CP04,30,0.17147563697737983,0.0468476149814278,0.02445159138736749,0.02158464081400946,0.011410853094852513
qwen,CP05,30,0.07792050002338625,0.05253957096468567,0.03153984288725135,0.02961619208731392,0.010717471954633552
qwen,CR01,30,0.15976709280631202,0.05406614468096389,0.024681828540486877,0.02054008930368023,0.014860032701700797
qwen,CR02,30,0.15593192757708543,0.051833868936393426,0.021182108378373022,0.015787814143771284,0.017027786375933843
qwen,CR03,30,0.1372285966561216,0.04288025215977915,0.025485370600360942,0.02386510872915948,0.0092457632676947
qwen,CR04,30,0.17022995392365012,0.051503620008857706,0.024540707793862908,0.02097283395881544,0.014099786126881416
qwen,CR05,30,0.24528528902107455,0.04900157864710169,0.02287156625789752,0.01921889056515147,0.012909707072655258
qwen,EX01,30,0.2419399907190748,0.046488571714610724,0.02277306141778919,0.019459380969931828,0.012112720889569469
qwen,EX02,30,0.276414278133443,0.05005787180350026,0.02365674560641298,0.019819087920588285,0.013394725860383348
qwen,EX03,30,0.21654865636661907,0.043246405797968235,0.025348047065936602,0.02345324853466435,0.009457332078229403
qwen,EX04,30,0.28246884475573897,0.046352739429629496,0.02554778545932543,0.022953713489231475,0.01104255075921668
qwen,EX05,30,0.30009217574438984,0.04700782353290226,0.025254445499906335,0.0224219495522886,0.011517782182933155
qwen,SU01,30,0.10739731591073741,0.05508254824803753,0.02288038823397895,0.01816275254730204,0.016207274946078456
qwen,SU02,30,0.2559037049192435,0.0585057683360282,0.0236682414284742,0.018666175736164248,0.017537665462616883
qwen,SU03,30,0.36213831365852833,0.053491037903353626,0.023409991372036025,0.019071689519897017,0.015448575328512607
qwen,SU04,30,0.2388001917029112,0.054259496037205944,0.024096162891144888,0.02002645769661715,0.015564981332538195
qwen,SU05,30,0.060735249453913266,0.07601850781545828,0.027316526533802208,0.020283406463787457,0.024546427308735106
