provider,scenario_id,task_family,perturbation_family,lambda,sample_size,threshold,bandwidth,median_mmd2,mean_mmd2,q025_mmd2,q975_mmd2,median_rho,mean_rho,q025_rho,q975_rho,exceedance_rate
openai,CR01,contextual_reasoning,context_removal,1.0,30,0.04169705705223494,0.23352537715060523,0.7626593668409904,0.7630519150096071,0.7258612291832993,0.8025319541901363,18.29048428731045,18.299898576863903,17.40797266037253,19.24672892824989,1.0
openai,CR01,contextual_reasoning,surface,0.25,30,0.04169705705223494,0.23352537715060523,0.39019418325741967,0.3905703405669064,0.36667196263514756,0.4152956335149667,9.357835080989378,9.366856276634325,8.793713239181567,9.95983080999495,1.0
openai,CR01,contextual_reasoning,surface,0.5,30,0.04169705705223494,0.23352537715060523,0.4597054332639986,0.45997183870483255,0.43830435981112725,0.48335416856444857,11.02488918314101,11.03127825372938,10.511637770072179,11.592045164217195,1.0
openai,CR01,contextual_reasoning,surface,0.75,30,0.04169705705223494,0.23352537715060523,0.6780570174784313,0.6785440461761113,0.6480050765126962,0.7104129579187198,16.261507775692955,16.273187945280704,15.54078686418862,17.037484372788416,1.0
openai,CR01,contextual_reasoning,surface,1.0,30,0.04169705705223494,0.23352537715060523,0.7570123193044224,0.75727802015166,0.724033740297993,0.7899185114205937,18.15505392517496,18.161426097841844,17.364144893750606,18.944226937432134,1.0
openai,CR02,contextual_reasoning,semantic,0.25,30,0.04472271802592071,0.24906794536999258,0.04072308970210892,0.04177872842279483,0.029798442591117424,0.060407818075593527,0.910568308449105,0.9341723908323375,0.666293192955013,1.350718845857757,0.2985
openai,CR02,contextual_reasoning,semantic,0.5,30,0.04472271802592071,0.24906794536999258,0.25493074756873185,0.25544446773760543,0.2394506582479836,0.2728684537809871,5.7002516578034745,5.711738441065971,5.354116851958798,6.10133877871278,1.0
openai,CR02,contextual_reasoning,semantic,0.75,30,0.04472271802592071,0.24906794536999258,0.293676029561475,0.29414747391417245,0.275773456897627,0.3131945181237568,6.5665961847682,6.577137680757426,6.166294650020874,7.003029599905653,1.0
openai,CR02,contextual_reasoning,semantic,1.0,30,0.04472271802592071,0.24906794536999258,0.15736943072375187,0.15816681709212568,0.13831090825762238,0.18281812219015237,3.5187805587429315,3.5366101183844463,3.092631985771955,4.087813314123559,1.0
openai,CR02,contextual_reasoning,context_removal,0.25,30,0.04472271802592071,0.24906794536999258,0.15393299394752347,0.15445171722544507,0.13971759877390744,0.17249620894164197,3.441941830510075,3.4535404832936765,3.1240855865005552,3.8570153281306694,1.0
openai,CR02,contextual_reasoning,context_removal,0.5,30,0.04472271802592071,0.24906794536999258,0.3682738675781887,0.3689296373810425,0.33836369135734484,0.4028876361879161,8.23460388442272,8.249266897580233,7.565812327444715,9.008567769839203,1.0
openai,CR02,contextual_reasoning,context_removal,0.75,30,0.04472271802592071,0.24906794536999258,0.7102437372439001,0.7103718204518938,0.6767288524165125,0.7471380508817635,15.88105036085356,15.883914301455729,15.131657517423006,16.706007234370947,1.0
openai,CR02,contextual_reasoning,context_removal,1.0,30,0.04472271802592071,0.24906794536999258,0.6677996738460948,0.6678523226286324,0.6332386579941085,0.7049990460847833,14.932001079608952,14.933178306415853,14.159216745884978,15.763779063610913,1.0
openai,CR02,contextual_reasoning,surface,0.25,30,0.04472271802592071,0.24906794536999258,0.31506512434222894,0.315867584954482,0.28349754332304555,0.3543133026655734,7.044856355993865,7.062799375731349,6.339005226800706,7.922445645191288,1.0
openai,CR02,contextual_reasoning,surface,0.5,30,0.04472271802592071,0.24906794536999258,0.39687268755541805,0.3973509664544301,0.36764745456518655,0.4315474832583681,8.874073515062205,8.884767831510834,8.220597289102662,9.649401966317182,1.0
openai,CR02,contextual_reasoning,surface,0.75,30,0.04472271802592071,0.24906794536999258,0.5701432713861513,0.5707778894595068,0.5271800518216416,0.6195608771318629,12.748403866144798,12.762593926618935,11.787746252723165,13.85338155817751,1.0
openai,CR02,contextual_reasoning,surface,1.0,30,0.04472271802592071,0.24906794536999258,0.34275335953282554,0.34300581032677074,0.319045375230043,0.3685858025753502,7.6639653102964385,7.669610110189837,7.133854768065045,8.241578751133208,1.0
openai,CR03,contextual_reasoning,semantic,0.25,30,0.036991754990171835,0.28289892887606294,0.03450645842386135,0.035069683906923346,0.02534767722334491,0.04768824262141369,0.9328148511209919,0.9480405543408483,0.6852250516386534,1.2891586958792236,0.327
openai,CR03,contextual_reasoning,semantic,0.5,30,0.036991754990171835,0.28289892887606294,0.5582687190118342,0.5583732984421585,0.5345419898654938,0.5839336290752277,15.09170676439001,15.0945338654657,14.450300884819166,15.785507587579186,1.0
openai,CR03,contextual_reasoning,semantic,0.75,30,0.036991754990171835,0.28289892887606294,0.4850413831378344,0.48547107882367196,0.4617223756388182,0.5090132556707196,13.112148457587448,13.123764442986133,12.48176453811102,13.760181310834186,1.0
openai,CR03,contextual_reasoning,semantic,1.0,30,0.036991754990171835,0.28289892887606294,0.3697778979966973,0.3698906005400361,0.34833957940934746,0.3925553953710197,9.996224782926408,9.999271476530664,9.4166816227534,10.61197003157368,1.0
openai,CR03,contextual_reasoning,context_removal,0.25,30,0.036991754990171835,0.28289892887606294,0.116383288809635,0.11653026034013204,0.09807460050931857,0.13683590656134795,3.1461953843648764,3.1501684732474144,2.651255679417631,3.6990920435568206,1.0
openai,CR03,contextual_reasoning,context_removal,0.5,30,0.036991754990171835,0.28289892887606294,0.42937469104354653,0.4300268756127102,0.3938324416424986,0.4676380450298557,11.607307930040765,11.624938468773973,10.646492488586555,12.641683130581402,1.0
openai,CR03,contextual_reasoning,context_removal,0.75,30,0.036991754990171835,0.28289892887606294,0.6785276805164047,0.6787444239740166,0.6502840854171494,0.7080788387994341,18.34267340645718,18.348532643405242,17.579162859126864,19.14153137604745,1.0
openai,CR03,contextual_reasoning,context_removal,1.0,30,0.036991754990171835,0.28289892887606294,0.5700069004973363,0.5700963809336301,0.5464864549825169,0.5941682520680173,15.409025623379556,15.411444552579253,14.77319621974438,16.062180673122402,1.0
openai,CR03,contextual_reasoning,surface,0.25,30,0.036991754990171835,0.28289892887606294,0.23825902881721417,0.23837981590277563,0.2153654953411976,0.2640369331391461,6.4408684821932916,6.444133725639933,5.821986423688657,7.137723884938598,1.0
openai,CR03,contextual_reasoning,surface,0.5,30,0.036991754990171835,0.28289892887606294,0.34496175572046556,0.3456715686676257,0.31894349783565595,0.3744116416312601,9.325368742632428,9.344557152248267,8.622015849758807,10.121489011017072,1.0
openai,CR03,contextual_reasoning,surface,0.75,30,0.036991754990171835,0.28289892887606294,0.6548754391214062,0.6551274168772131,0.6304870853555828,0.6809988939002676,17.70328115806879,17.71009288559764,17.043989546402813,18.409477843946547,1.0
openai,CR03,contextual_reasoning,surface,1.0,30,0.036991754990171835,0.28289892887606294,0.8286360674330504,0.8292407583628602,0.8000206852424839,0.8621759444676371,22.40056108863196,22.41690772938935,21.627000001893332,23.30724629574089,1.0
openai,CR04,contextual_reasoning,semantic,0.25,30,0.040591405896019776,0.2693026435507786,0.11037221946846976,0.11096081795273598,0.09580353189636023,0.12983294131847828,2.7191031459024284,2.7336037149582033,2.3601925033533844,3.19853275471814,1.0
openai,CR04,contextual_reasoning,semantic,0.5,30,0.040591405896019776,0.2693026435507786,0.5298294876734739,0.5306006323826267,0.49955985454080104,0.5642293195793061,13.05275035387298,13.07174808731262,12.307035036443164,13.900216243424868,1.0
openai,CR04,contextual_reasoning,semantic,0.75,30,0.040591405896019776,0.2693026435507786,0.32135296437348004,0.3220768695709344,0.28887770853428324,0.35748510228730024,7.916773446986978,7.934607399309516,7.116720945174491,8.806916005891624,1.0
openai,CR04,contextual_reasoning,semantic,1.0,30,0.040591405896019776,0.2693026435507786,0.3138214185156058,0.3140237130650528,0.2914991889967985,0.33944508777813737,7.731228115613947,7.736211794917028,7.181303100057978,8.362486597475106,1.0
openai,CR04,contextual_reasoning,context_removal,0.25,30,0.040591405896019776,0.2693026435507786,0.10061040610393324,0.10101599685297662,0.08992771013677746,0.11420367413462211,2.4786134868464527,2.4886055218620013,2.2154371880377615,2.813493930886992,1.0
openai,CR04,contextual_reasoning,context_removal,0.5,30,0.040591405896019776,0.2693026435507786,0.3739702516459993,0.3748529678503792,0.33940064531997705,0.41283831176636526,9.213040134751019,9.234786516402371,8.36139172388846,10.170584207502072,1.0
openai,CR04,contextual_reasoning,context_removal,0.75,30,0.040591405896019776,0.2693026435507786,0.5711936099660557,0.5722522517161984,0.5355572722813547,0.6138055200288809,14.071786807021253,14.09786724761635,13.19385866193586,15.12156345609769,1.0
openai,CR04,contextual_reasoning,context_removal,1.0,30,0.040591405896019776,0.2693026435507786,0.5707736292533734,0.5713716494537932,0.5370818957382869,0.6093244167631177,14.061440264362487,14.076172944525172,13.231418914488767,15.011168086268858,1.0
openai,CR04,contextual_reasoning,surface,0.25,30,0.040591405896019776,0.2693026435507786,0.3504712283301801,0.3509120877691164,0.3330338154809908,0.3706540455449299,8.634123913518991,8.644984819398074,8.204540052988081,9.13134288805884,1.0
openai,CR04,contextual_reasoning,surface,0.5,30,0.040591405896019776,0.2693026435507786,0.7678848169825654,0.7686186330610294,0.7413337308616414,0.7989143458196464,18.917423529246644,18.935501643622473,18.26331743129729,19.681859452372024,1.0
openai,CR04,contextual_reasoning,surface,0.75,30,0.040591405896019776,0.2693026435507786,0.4438878734863503,0.4445048092499934,0.4228870964411066,0.4686747702834023,10.935513655856795,10.950712335233003,10.418143621937796,11.546157614840302,1.0
openai,CR04,contextual_reasoning,surface,1.0,30,0.040591405896019776,0.2693026435507786,1.0049291274077012,1.0054218331691303,0.9796583032440214,1.0339423728225996,24.75718948937022,24.769327668636326,24.1346236135192,25.47195274465681,1.0
openai,CR05,contextual_reasoning,semantic,0.25,30,0.04127791580831533,0.2705882683596469,0.04946728893093921,0.04977188789312852,0.0405142110334793,0.06005970396276049,1.1983959936507782,1.2057752170496483,0.9814984657078498,1.455008151130092,0.9645
openai,CR05,contextual_reasoning,semantic,0.5,30,0.04127791580831533,0.2705882683596469,0.5301341320220356,0.530246968614045,0.49137940481908304,0.5695611987189654,12.843045043355641,12.84577862594574,11.904171884572134,13.798206318455371,1.0
openai,CR05,contextual_reasoning,semantic,0.75,30,0.04127791580831533,0.2705882683596469,0.1910772344625261,0.19147870938317615,0.17647127590860007,0.207914065121337,4.6290426907657505,4.638768833977883,4.2751983101106665,5.036932244516406,1.0
openai,CR05,contextual_reasoning,semantic,1.0,30,0.04127791580831533,0.2705882683596469,0.2697749567493196,0.2701437992419582,0.2556990518872644,0.28590461111510534,6.535576020894304,6.544511609947574,6.194572736537112,6.926333501012437,1.0
openai,CR05,contextual_reasoning,context_removal,0.25,30,0.04127791580831533,0.2705882683596469,0.2988246232068158,0.2991479438792246,0.2793918413753937,0.32343858881179466,7.239334093186418,7.2471668692866045,6.768554950129311,7.8356327464246345,1.0
openai,CR05,contextual_reasoning,context_removal,0.5,30,0.04127791580831533,0.2705882683596469,0.5749938688489149,0.5748244297959391,0.5392678854781517,0.6121755488857824,13.92981834448831,13.925713509017385,13.064319622685929,14.830582816452697,1.0
openai,CR05,contextual_reasoning,context_removal,0.75,30,0.04127791580831533,0.2705882683596469,0.6078808774298823,0.6084564277852545,0.570243969076715,0.6531073399584469,14.72653997970087,14.740483279504208,13.814747133183523,15.822197588447045,1.0
openai,CR05,contextual_reasoning,context_removal,1.0,30,0.04127791580831533,0.2705882683596469,0.5889095048586059,0.5892134557237187,0.5550450856545202,0.6257283443982092,14.266938950923766,14.274302473503838,13.446538537265674,15.158913238351,1.0
openai,CR05,contextual_reasoning,surface,0.25,30,0.04127791580831533,0.2705882683596469,0.4264027080205651,0.42671996800868617,0.39538423035584985,0.46047338201105337,10.33004452067484,10.33773047045957,9.57858997028626,11.155441668842501,1.0
openai,CR05,contextual_reasoning,surface,0.5,30,0.04127791580831533,0.2705882683596469,0.4152426532244455,0.41557575858935547,0.38937555636517807,0.4435739161570511,10.059680705603743,10.067750525951672,9.43302365781606,10.746034713014613,1.0
openai,CR05,contextual_reasoning,surface,0.75,30,0.04127791580831533,0.2705882683596469,0.7545920035985325,0.7551285019579141,0.718335327317246,0.7961874829132334,18.280768028663935,18.293765253666113,17.402412724833827,19.28846133149105,1.0
openai,CR05,contextual_reasoning,surface,1.0,30,0.04127791580831533,0.2705882683596469,0.5563460292442837,0.5572379302182662,0.5171193684241908,0.5986832402870731,13.478055234857793,13.499662454033402,12.527748998412815,14.503717752301581,1.0
openai,EX01,explanation,semantic,0.25,30,0.037600032586537116,0.2794632079238498,0.043138064545435784,0.04360752892785578,0.03410156095066244,0.0555412042143312,1.1472879563642078,1.1597737003948683,0.9069556222372179,1.4771584063524992,0.862
openai,EX01,explanation,semantic,0.5,30,0.037600032586537116,0.2794632079238498,0.2388218870516638,0.23906388875564183,0.2200844196973525,0.2596360826567313,6.351640427491948,6.358076637445253,5.85330396166079,6.905208979784112,1.0
openai,EX01,explanation,semantic,0.75,30,0.037600032586537116,0.2794632079238498,0.30593427202430634,0.30644260879736646,0.28792881520079133,0.3268170832338478,8.136542736238152,8.150062319549418,7.657674618715244,8.691936170046468,1.0
openai,EX01,explanation,semantic,1.0,30,0.037600032586537116,0.2794632079238498,0.2851721132308999,0.285244457041725,0.2644260162373878,0.30789762583464964,7.584358140503507,7.586282176357961,7.032600719927751,8.188759547641826,1.0
openai,EX01,explanation,context_removal,0.25,30,0.037600032586537116,0.2794632079238498,0.13199940708348923,0.13225101357238805,0.11521200153796532,0.15180312775654642,3.510619486291411,3.517311142430796,3.064146321490625,4.037313728576403,1.0
openai,EX01,explanation,context_removal,0.5,30,0.037600032586537116,0.2794632079238498,0.34252856234950113,0.34281502031496813,0.3161313829799281,0.37079943021181033,9.109794295022638,9.117412851331274,8.407742260657523,9.861678426964367,1.0
openai,EX01,explanation,context_removal,0.75,30,0.037600032586537116,0.2794632079238498,0.5772394372045095,0.5776337950562734,0.5490407276402935,0.6089316646837892,15.35209938650939,15.362587618158027,14.602134356577137,16.1949770464247,1.0
