sample_size,measure,perturbation,lambda,mean_median_rho,sd_median_rho,mean_exceedance_rate,sd_exceedance_rate,mean_median_discrepancy
100,MMD2,scale,0.0,0.2623915117430938,0.022404514545084794,0.044,0.010624918300339485,0.006391013511608501
100,MMD2,scale,0.05,0.28741304873353674,0.012072082928969214,0.059899999999999995,0.010629623177182196,0.007007014677833512
100,MMD2,scale,0.1,0.3406427938146116,0.01645154973475544,0.0804,0.01463025783930155,0.00830156073714774
100,MMD2,scale,0.2,0.558166628964045,0.04118909513937687,0.2015,0.01690003287307783,0.013617314536656405
100,MMD2,scale,0.3,0.8581053199800481,0.06096721185903246,0.4166,0.03403331700946394,0.02089904746124115
100,MMD2,scale,0.4,1.258084722956189,0.05381927992205609,0.6369,0.023797525548304888,0.030670857862609386
100,MMD2,scale,0.5,1.6835049183316166,0.07228809225204375,0.8139,0.013698742845807238,0.04104240129122067
100,MMD2,scale,0.6,2.1650037742051267,0.09227647507806518,0.9279,0.008799621203968539,0.05277218032429065
100,MMD2,scale,0.8,3.1562890855493353,0.13649930599241325,0.9914,0.0023190036174568036,0.0769120500902137
100,MMD2,scale,1.0,4.175474051661171,0.1705128487040287,0.9994999999999999,0.0008498365855988228,0.10176681429070197
100,TV,contamination,0.0,0.7896080995403393,0.01313417631187686,0.0377,0.007149980574954187,0.2835
100,TV,contamination,0.05,0.8355167221429707,0.009184908490899823,0.0858,0.012380989010934826,0.30000000000000004
100,TV,contamination,0.1,0.8981673006815661,0.013607692126861576,0.18660000000000002,0.01818546428087859,0.3225
100,TV,contamination,0.2,1.0305634807417978,0.015781925551016974,0.5674,0.034409946882325244,0.37
100,TV,contamination,0.3,1.1767732604216201,0.013802566444242992,0.9165000000000001,0.010102254973794486,0.42250000000000004
100,TV,contamination,0.4,1.3508361071485182,0.015277325991858747,0.9948,0.004341018825626615,0.48500000000000004
100,TV,contamination,0.5,1.5346964653669364,0.014935550301608105,1.0,0.0,0.551
100,TV,contamination,0.6,1.7463346013631322,0.014008440799103971,1.0,0.0,0.627
100,TV,contamination,0.8,2.200392296718973,0.018808760373723827,1.0,0.0,0.79
100,TV,contamination,1.0,2.701747503566334,0.023094300712040598,1.0,0.0,0.97
100,TV,location,0.0,0.8021080995403393,0.00880405400731179,0.0431,0.007978443178688156,0.288
100,TV,location,0.05,0.796477254715486,0.014757400588148364,0.0438,0.007627435858647241,0.28600000000000003
100,TV,location,0.1,0.8048858773181171,0.0021177085297526188,0.046799999999999994,0.007435649863252634,0.28900000000000003
100,TV,location,0.2,0.817461166587415,0.013195112640537512,0.0625,0.014493293468206445,0.2935
100,TV,location,0.3,0.8467031225233794,0.01417772035291759,0.099,0.015726834816113935,0.304
100,TV,location,0.4,0.8884450784593438,0.0014034518066998742,0.1702,0.01716456297789788,0.319
100,TV,location,0.5,0.9274845458868285,0.01399145188626228,0.26480000000000004,0.025284162807751597,0.333
100,TV,location,0.6,0.9747820573783486,0.008887114746389453,0.4095,0.012903487900563936,0.35
100,TV,location,0.8,1.1113449041052466,0.01365452386596051,0.7599,0.018657438194993468,0.399
100,TV,location,1.0,1.2533127278491045,0.008758998155107106,0.9635999999999999,0.006979334575094607,0.45
100,TV,scale,0.0,0.7993303217625616,0.011549513760514036,0.047799999999999995,0.012523755205386459,0.28700000000000003
100,TV,scale,0.05,0.8048858773181171,0.0021177085297526548,0.0501,0.008517302650748324,0.28900000000000003
100,TV,scale,0.1,0.8188500554763039,0.014125238015943588,0.0608,0.010881176406988356,0.294
100,TV,scale,0.2,0.8578142336344905,0.00875504538377086,0.1032,0.010507140429250956,0.308
100,TV,scale,0.3,0.8940759232841973,0.010969672460429677,0.1876,0.009082339395160748,0.321
100,TV,scale,0.4,0.9470042796005707,0.008094909527931772,0.29660000000000003,0.021188046944759523,0.33999999999999997
100,TV,scale,0.5,0.9970795688698686,0.008745479824883282,0.44480000000000003,0.015440207252495031,0.358
100,TV,scale,0.6,1.0333412585195754,0.011728862116841588,0.5849,0.02035490658839343,0.371
