seed,sample_size,measure,perturbation,lambda,median_discrepancy,mean_discrepancy,median_rho,mean_rho,q025_rho,q975_rho,exceedance_rate,n_repetitions
20260833,100,TV,scale,0.05,0.29000000000000004,0.28898,0.8055555555555557,0.8027222222222223,0.5555555555555556,1.027777777777778,0.038,500
20260833,100,TV,scale,0.1,0.29000000000000004,0.29454,0.8055555555555557,0.8181666666666667,0.5965277777777779,1.0833333333333335,0.06,500
20260833,100,TV,scale,0.2,0.31000000000000005,0.3114,0.8611111111111113,0.8650000000000001,0.6388888888888888,1.0979166666666662,0.102,500
20260833,100,TV,scale,0.3,0.32,0.32194,0.888888888888889,0.8942777777777778,0.6520833333333335,1.138888888888889,0.174,500
20260833,100,TV,scale,0.4,0.33999999999999997,0.34078,0.9444444444444444,0.9466111111111112,0.7222222222222223,1.1812499999999995,0.318,500
20260833,100,TV,scale,0.5,0.36,0.35913999999999996,1.0,0.9976111111111112,0.7777777777777778,1.2500000000000002,0.434,500
20260833,100,TV,scale,0.6,0.37,0.37424,1.027777777777778,1.0395555555555556,0.8055555555555557,1.3055555555555556,0.572,500
20260833,100,TV,scale,0.8,0.41000000000000003,0.40838,1.1388888888888888,1.134388888888889,0.9166666666666666,1.3756944444444439,0.824,500
20260833,100,TV,scale,1.0,0.44,0.44260000000000005,1.2222222222222223,1.2294444444444446,0.9444444444444445,1.5000000000000002,0.946,500
20260833,100,W1,contamination,0.0,0.1601410769072324,0.17379003657800965,0.5197182686412546,0.5640142970297728,0.281887148146889,1.0314352618297074,0.034,500
20260833,100,W1,contamination,0.05,0.23518193849296753,0.2467367573846895,0.7632542021686564,0.8007539529187263,0.3845343624655105,1.4801748173114921,0.202,500
20260833,100,W1,contamination,0.1,0.3457617764556782,0.36273272638395243,1.1221275346235284,1.1772046758808556,0.5842479952942728,2.094531386148113,0.626,500
20260833,100,W1,contamination,0.2,0.6234875058897995,0.6339845700671666,2.0234524042086433,2.057519341470703,1.1765424236865354,3.0356644950315568,0.992,500
20260833,100,W1,contamination,0.3,0.9296112858049748,0.9278154345346195,3.016939671561009,3.011111456021364,1.8849889987705515,4.136688405675618,1.0,500
20260833,100,W1,contamination,0.4,1.2059270279510232,1.2068243851275924,3.9136885999428066,3.9166008628497773,2.7298986745596383,5.054870451075192,1.0,500
20260833,100,W1,contamination,0.5,1.5039751499224465,1.5048766259576034,4.880967307656865,4.883892937815358,3.624767904493795,6.096249727822989,1.0,500
20260833,100,W1,contamination,0.6,1.7886597161260742,1.8031484670429434,5.804876230424663,5.8518976985371305,4.674297069982704,7.113238348446029,1.0,500
20260833,100,W1,contamination,0.8,2.3968005230195173,2.3915671461450034,7.778522801015956,7.7615385167779705,6.614680962531515,8.752873590033866,1.0,500
20260833,100,W1,contamination,1.0,3.0066995310213493,3.0101637172831195,9.757875398153482,9.769117990753637,9.04446558793514,10.585867362847074,1.0,500
20260833,100,W1,location,0.0,0.16030074377905545,0.17339640719168256,0.5202364479353235,0.5627368210248703,0.29521289272338014,1.0902570807522116,0.038,500
20260833,100,W1,location,0.05,0.1671321959757724,0.18318832404217877,0.5424070900750662,0.5945152889264385,0.3069691753127259,1.1107209064762058,0.06,500
20260833,100,W1,location,0.1,0.17659760012718367,0.19277478096845843,0.5731259009671079,0.6256269617860893,0.30197484882388304,1.2592650622981263,0.09,500
20260833,100,W1,location,0.2,0.2236624524747416,0.23953563244501877,0.7258691199358345,0.7773835831285754,0.34188052231820637,1.5151347145298166,0.242,500
20260833,100,W1,location,0.3,0.31130385144397266,0.32525458209179686,1.0102985556138027,1.055573944780617,0.4347476845094483,1.9248974555370195,0.51,500
20260833,100,W1,location,0.4,0.4020994606681868,0.40352359923973136,1.304964594693657,1.309586462155789,0.533215460224964,2.1165903134596165,0.752,500
20260833,100,W1,location,0.5,0.5108737079505317,0.5145818726076139,1.6579781035455061,1.6700124981720137,0.918094369924212,2.620915156434783,0.95,500
20260833,100,W1,location,0.6,0.6121567996963063,0.6034400863613428,1.986679983796007,1.9583909573314628,1.0890578785053802,2.798165086806283,0.982,500
20260833,100,W1,location,0.8,0.7860390753755135,0.7874154908412303,2.5509936315414192,2.555460619503463,1.6578657439175062,3.4920332777709304,1.0,500
20260833,100,W1,location,1.0,1.0111776326254063,1.0009314977272383,3.2816532688940874,3.2484006919014567,2.3073187770343075,4.0772511000361655,1.0,500
20260833,100,W1,scale,0.0,0.1645871153857807,0.18006257463473532,0.5341473424617215,0.5843710517224886,0.3064973554106596,1.0598360455379874,0.062,500
20260833,100,W1,scale,0.05,0.1745382536590634,0.18391525943507217,0.5664425440070198,0.5968744687890007,0.2928612098079296,1.0947893425793995,0.048,500
20260833,100,W1,scale,0.1,0.18477878148809135,0.19788589609563592,0.599676923942894,0.6422144604842629,0.31911732968629625,1.173795779709655,0.078,500
20260833,100,W1,scale,0.2,0.2332200795713153,0.23896026016455021,0.7568872291110808,0.775516282800612,0.37689265193733384,1.2940635743865132,0.198,500
20260833,100,W1,scale,0.3,0.3031475680179925,0.3063167832310124,0.983828335839064,0.9941136359961023,0.4898707628348002,1.5545396492628183,0.478,500
20260833,100,W1,scale,0.4,0.3573466039859486,0.36376476157154947,1.1597246747378507,1.1805540197920714,0.5830606253989091,1.8628677072104147,0.67,500
20260833,100,W1,scale,0.5,0.4373121044343794,0.4401043368249795,1.419242921066148,1.4283047696044051,0.8012355945151004,2.151415515162686,0.896,500
20260833,100,W1,scale,0.6,0.5038304453556293,0.5070526628104083,1.6351200566776884,1.6455773691244722,0.9342403491566091,2.3675413722476844,0.962,500
20260833,100,W1,scale,0.8,0.6729776928964908,0.6722502349518712,2.184066750025421,2.181705874285176,1.3966887198247453,2.992054250738988,0.998,500
20260833,100,W1,scale,1.0,0.8157658707016837,0.8197986788300844,2.647468308105008,2.6605562933910627,1.8634768251277523,3.6148142467021884,1.0,500
20260834,100,JS,contamination,0.0,0.08713030309754859,0.08798182806012342,0.6987190279723589,0.705547613125774,0.4281925309309396,1.0282674522745063,0.034,500
