seed,sample_size,measure,B,threshold,calibration_mean,calibration_median,calibration_sd,mmd_bandwidth
20260832,250,TV,1000,0.232,0.18671200000000002,0.188,0.027172475032639178,0.9414812376922175
20260832,250,W1,1000,0.19005582178572922,0.11272656559036863,0.103934373924115,0.039586799085045074,0.9414812376922175
20260832,250,MMD2,1000,0.009575547783438476,0.00358295997013169,0.002663925738752071,0.0031322130165332834,0.9414812376922175
20260833,50,JS,1000,0.23667332854439896,0.16509736674395006,0.16211942198959317,0.04002685529751006,0.9521896987214788
20260833,50,TV,1000,0.5,0.3906,0.38,0.06220859996744751,0.9521896987214788
20260833,50,W1,1000,0.42286507707606696,0.24713602836155518,0.2247761352657357,0.09827134740066781,0.9521896987214788
20260833,50,MMD2,1000,0.04849560102140797,0.017692884343954322,0.012947972931675378,0.0157523059372724,0.9521896987214788
20260833,100,JS,1000,0.12467175806333607,0.08797337725953032,0.08605093535295813,0.020039620869209445,0.9521896987214788
20260833,100,TV,1000,0.36,0.28842,0.29,0.042387501699207276,0.9521896987214788
20260833,100,W1,1000,0.3081305518197453,0.17546954927717018,0.1607771169136053,0.06497742458980589,0.9521896987214788
20260833,100,MMD2,1000,0.024468090165176187,0.00892615423177311,0.006600910008691119,0.007670058010891622,0.9521896987214788
20260833,250,JS,1000,0.05348967716361828,0.03836939843176687,0.03778122129260194,0.008638255911154321,0.9521896987214788
20260833,250,TV,1000,0.232,0.18598800000000001,0.184,0.025823917803670514,0.9521896987214788
20260833,250,W1,1000,0.18999031686432796,0.11182172466204508,0.10367032113167798,0.04023413468548779,0.9521896987214788
20260833,250,MMD2,1000,0.009395517334711109,0.0035373960009092748,0.0026090678427779235,0.0031600514805441905,0.9521896987214788
20260834,50,JS,1000,0.23023507516058156,0.1626684322101555,0.15944344334941013,0.03882524088556114,0.9571662289577749
20260834,50,TV,1000,0.48000000000000004,0.3845,0.38,0.0591036652268135,0.9571662289577749
20260834,50,W1,1000,0.42263525455988404,0.24591792066860535,0.22724856457414438,0.09118913875413674,0.9571662289577749
20260834,50,MMD2,1000,0.04793349000724461,0.01747443081660583,0.01289966526084907,0.015750427998913793,0.9571662289577749
20260834,100,JS,1000,0.12470005769042179,0.08885292005622558,0.08716260703715648,0.020265704734734335,0.9571662289577749
20260834,100,TV,1000,0.36,0.28801,0.29,0.04183886220238775,0.9571662289577749
20260834,100,W1,1000,0.2996633551585029,0.1741391014777966,0.1587093605931053,0.06403777110425031,0.9571662289577749
20260834,100,MMD2,1000,0.023954716551407882,0.008585754488630507,0.00663855079673259,0.007661637571165247,0.9571662289577749
20260834,250,JS,1000,0.05200553289256207,0.03767365603426957,0.036977715508824005,0.008136958616702683,0.9571662289577749
20260834,250,TV,1000,0.236,0.185776,0.184,0.027637250978374127,0.9571662289577749
20260834,250,W1,1000,0.1855942490921511,0.11177789408958436,0.10402266567179949,0.038706593526769494,0.9571662289577749
20260834,250,MMD2,1000,0.00986451610283251,0.00369477306102519,0.002786680164392874,0.0032560547198544226,0.9571662289577749
20260835,50,JS,1000,0.2244137841978776,0.15846095444383818,0.15608952419053188,0.03704891289437776,0.9670762654978572
20260835,50,TV,1000,0.5,0.38795999999999997,0.38,0.0618746059936293,0.9670762654978572
20260835,50,W1,1000,0.4180314180426803,0.2465524537847287,0.2275967597969304,0.08971221212431961,0.9670762654978572
