target,degree,n_terms,method,train_rmse,train_mae,train_max_error,eval_rmse,eval_mae,eval_max_error,condition_number
phi3_rational,11,78,Linf,0.00022293737561998288,0.00019692274701542078,0.0003419555531426338,0.0002196406877901696,0.00019331412426875554,0.00047123895811668204,10.761903124203743
phi3_rational,12,91,L2,6.939935395338862e-05,4.677931587030985e-05,0.00027435445344398124,6.33780574916662e-05,4.298163089844714e-05,0.00027901802619334504,11.858716675852053
phi3_rational,12,91,Linf,0.00011072008826538297,9.621054789285689e-05,0.00017381703214533473,0.00010895117158667324,9.440603744771259e-05,0.00024074293715435624,11.858716675852053
phi4_interaction,1,3,L2,0.5758480463280778,0.4973139160290598,1.1074143301714945,0.5725768858239344,0.4924050951955774,1.1077800538483675,1.6770509831248426
phi4_interaction,1,3,Linf,0.6678877201256578,0.5775814321593538,1.0,0.6780368207690854,0.5969098842575773,0.9999999846943931,1.6770509831248426
phi4_interaction,2,6,L2,0.5595426078397899,0.4652968747266301,1.3750364681790874,0.5522495636290902,0.45734401304116795,1.3801289849909653,2.8165355891089043
phi4_interaction,2,6,Linf,0.6296180515230103,0.5543136120303517,0.9627144667987768,0.6318267046405107,0.5558394071788456,0.9707284615841925,2.8165355891089043
phi4_interaction,3,10,L2,0.4289651030851152,0.3629076936772518,1.7433581589864566,0.4131106540311722,0.35319029494649756,1.690494117113077,3.52874327028453
phi4_interaction,3,10,Linf,0.5209544739788762,0.45417734302875007,0.8064950606448869,0.5143844296497114,0.44784090805426074,0.8081588385028237,3.52874327028453
phi4_interaction,4,15,L2,0.3109993281014382,0.2283472200978523,2.8307849485137897,0.2849541385460606,0.21828061293363255,2.7006307043977955,4.428298804535025
phi4_interaction,4,15,Linf,0.5177381500095694,0.4656875444631072,0.7399012595024217,0.5116952100371156,0.45990491809127826,0.7415536675701502,4.428298804535025
phi4_interaction,5,21,L2,0.22865759900817,0.18151839418903676,1.3090776172736374,0.21233083460952573,0.17471559474017875,1.2228499445290124,5.144739949812352
phi4_interaction,5,21,Linf,0.29864451568488426,0.2668360066491196,0.44764909329320907,0.298607595979308,0.26692846671276754,0.44970120439936223,5.144739949812352
phi4_interaction,6,28,L2,0.09258560237208996,0.07479568150840034,0.5388599634396123,0.08411069952926375,0.07060582029614984,0.4485637722735304,5.988847135087288
phi4_interaction,6,28,Linf,0.11657435650842218,0.10250762292725202,0.19536770658376448,0.11429886562956149,0.10040782192853046,0.20250730076749957,5.988847135087288
phi4_interaction,7,36,L2,0.061918916922263464,0.043892937069591485,0.7155559644358657,0.05451073632924717,0.042010058653412743,0.6229543593993316,6.8447319243474425
phi4_interaction,7,36,Linf,0.10272039692841135,0.09156234284301613,0.15265873704720478,0.10256373923772653,0.09175731085909294,0.1604319650331908,6.8447319243474425
phi4_interaction,8,45,L2,0.0346768052752408,0.026510168920622128,0.2326326823088011,0.030976113375741285,0.02533788880591194,0.20712073750573842,7.803290381030962
phi4_interaction,8,45,Linf,0.04625934971008117,0.04104472987530896,0.06858412415976882,0.04620347376080743,0.04112758050389113,0.06996210588575746,7.803290381030962
phi4_interaction,9,55,L2,0.009765900765840012,0.00770347723474572,0.04117371277304338,0.00868405678955075,0.007247757469671198,0.03490121774414677,8.740126263391407
phi4_interaction,9,55,Linf,0.013008750153368238,0.011576239236184357,0.01919297735948839,0.012886773402695954,0.011472923399193043,0.021766064028024862,8.740126263391407
phi4_interaction,10,66,L2,0.00544415157832025,0.0037790812977691796,0.054003279219603344,0.00479620651394405,0.003613792512637896,0.03923993144007563,9.760800153575802
phi4_interaction,10,66,Linf,0.009147001677840848,0.008177392395260765,0.013502729739537074,0.008988633678306272,0.007995214602879209,0.015517883287044714,9.760800153575802
phi4_interaction,11,78,L2,0.002733541152256561,0.0020279574104539078,0.016770011865912343,0.002443002126064749,0.0019398431577843376,0.012534585453828621,10.761903124203743
phi4_interaction,11,78,Linf,0.003745980080858892,0.0033301609897834167,0.005509863524897955,0.0036962747950266862,0.00326949987517247,0.006211513443118488,10.761903124203743
phi4_interaction,12,91,L2,0.000644709680030744,0.0005118744676963014,0.0025834791037214516,0.0005809718936661781,0.0004830872698875115,0.0023026870527951687,11.858716675852053
phi4_interaction,12,91,Linf,0.0008286107264627436,0.0007402673703341725,0.0011952012242196774,0.0008178078331254278,0.0007263981038453045,0.001659876112266867,11.858716675852053
phi5_transition,1,3,L2,0.39068464211259596,0.34330196437614935,0.8758119198143062,0.38622249228426037,0.34158255641054974,0.8664795419714656,1.6770509831248426
phi5_transition,1,3,Linf,0.4072770166186696,0.35972948360744517,0.6029100279323387,0.4084434359531021,0.3621067829619825,0.605157955495406,1.6770509831248426
phi5_transition,2,6,L2,0.39068464211259596,0.34330196437614946,0.8758119198143186,0.38622249228426037,0.34158255641054974,0.866479541971478,2.8165355891089043
phi5_transition,2,6,Linf,0.4072770166186698,0.3597294836074453,0.602910027932337,0.40844343595310234,0.3621067829619827,0.6051579554954043,2.8165355891089043
phi5_transition,3,10,L2,0.22843038334630672,0.19520338973289134,0.7048361211769366,0.22489474199440887,0.19353738267106385,0.6813869961608481,3.52874327028453
phi5_transition,3,10,Linf,0.2600014265205219,0.23278915220021792,0.3692756970907333,0.2599835354016997,0.2336096108180939,0.3698668607572655,3.52874327028453
phi5_transition,4,15,L2,0.22843038334630672,0.19520338973289136,0.7048361211769394,0.22489474199440887,0.19353738267106382,0.6813869961608512,4.428298804535025
phi5_transition,4,15,Linf,0.26000142652052227,0.23278915220017848,0.36927569708697594,0.25998353540169905,0.23360961081808765,0.369866860757206,4.428298804535025
phi5_transition,5,21,L2,0.14344353325310147,0.12069079711462044,0.49986707035406286,0.14106335788500235,0.12006090898894249,0.46541956449216004,5.144739949812352
