experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
grid_robustness,periodic,8,45,L2,41,251,7.067065562365264e-05,5.4218029122334184e-05,0.00011875381772798177,0.0001932168588420269,0.0005563673553359572,6.290060964776487e-05,5.177131510795963e-05,0.00010905839953406771,0.00014255421564773885,0.00048667134812782533,7.887919024107046,
grid_robustness,periodic,8,45,Linf,41,251,9.394045959575974e-05,8.117607625903549e-05,0.0001499902445383794,0.0001527409369653454,0.00015283581160752862,9.254583035499775e-05,7.986768672597354e-05,0.00014855620906117917,0.00015313835708659872,0.0001549778131759716,7.887919024107046,0.00015274093695633712
grid_robustness,periodic,9,55,L2,41,251,1.6228819828316386e-06,1.2348419343654535e-06,2.6711503980370033e-06,4.877324506234092e-06,1.2366884579182238e-05,1.4473887037831735e-06,1.1862839927502481e-06,2.64916878234267e-06,3.26419349150342e-06,9.941721100316901e-06,8.811626449575593,
grid_robustness,periodic,9,55,Linf,41,251,2.178681067784895e-06,1.899435987477902e-06,3.4077650633013157e-06,3.4543874912886616e-06,3.5115078120540044e-06,2.1638542663829174e-06,1.8850825326060215e-06,3.3786211646180675e-06,3.47838605035955e-06,3.6050761204053927e-06,8.811626449575593,3.4543873869206402e-06
grid_robustness,periodic,10,66,L2,41,251,1.6228819828291796e-06,1.2348419342535412e-06,2.6711503993137597e-06,4.877324517687972e-06,1.2366884589792509e-05,1.4473887036864498e-06,1.186283992583654e-06,2.6491687849516943e-06,3.264193497831691e-06,9.941721109917728e-06,9.784673996403708,
grid_robustness,periodic,10,66,Linf,41,251,2.182534555876282e-06,1.9026379219240774e-06,3.417788105197772e-06,3.453244529905142e-06,3.5241456369794477e-06,2.1689170335833947e-06,1.8924555910852365e-06,3.377747767985273e-06,3.4757321896172755e-06,3.620035039286762e-06,9.784673996403708,3.4532444817081836e-06
grid_robustness,periodic,11,78,L2,41,251,2.599397575440078e-08,1.9719900242421854e-08,4.363445937904942e-08,8.370104779831245e-08,1.7474396108579926e-07,2.3386634525518532e-08,1.897007297629816e-08,4.2923255560989304e-08,5.7207528214586745e-08,1.2305684358657198e-07,10.753486401739197,
grid_robustness,periodic,11,78,Linf,41,251,4.2108410827356564e-08,3.4973149952027e-08,7.893850373992031e-08,1.0904548084500485e-07,1.3690574568459013e-07,4.075259207108444e-08,3.389244769708004e-08,7.476567409625545e-08,1.0652917027328956e-07,1.386405149572667e-07,10.753486401739197,4.622210346475945e-08
grid_robustness,periodic,12,91,L2,41,251,2.599397575148069e-08,1.9719900194248678e-08,4.363446132193971e-08,8.370103690147346e-08,1.7474396192540542e-07,2.3386634579489126e-08,1.8970072987856357e-08,4.29232576149019e-08,5.7207532266900785e-08,1.2305684283977353e-07,11.772279558584941,
grid_robustness,periodic,12,91,Linf,41,251,4.595169291317858e-08,3.9080868971771475e-08,8.368224468924268e-08,1.0098449001461066e-07,1.2120174663898808e-07,4.602390906257465e-08,3.90502944042503e-08,8.342198287714098e-08,1.0418805140854914e-07,1.2231831758580114e-07,11.772279558584941,4.812676259083849e-08
grid_robustness,periodic,13,105,L2,41,251,3.0606562560529837e-10,2.3107625828220222e-10,5.393585578161719e-10,1.110072874725163e-09,1.6747861594153231e-09,2.791268180806018e-10,2.232208767865711e-10,5.215197718122511e-10,7.181893413310547e-10,1.145189845730421e-09,12.774750425406046,
grid_robustness,periodic,13,105,Linf,41,251,1.3008544719181545e-08,9.01476514404717e-09,2.843418386855312e-08,4.0404545814665146e-08,5.90093132690761e-08,1.3201525192064367e-08,9.323311312632843e-09,2.8723302750166546e-08,4.20373142406838e-08,5.992771204277325e-08,12.774750425406046,0.0
grid_robustness,periodic,14,120,L2,41,251,3.060656301487608e-10,2.310764272575744e-10,5.393572810596936e-10,1.1100670721221025e-09,1.674791294196812e-09,2.7912690224257897e-10,2.232210265419594e-10,5.215224918586614e-10,7.181894523533572e-10,1.1451818417163029e-09,13.840851688845886,
