experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
primary,interaction,16,153,Linf,31,201,1.266606654244165e-05,1.1260176320580385e-05,1.8119907773894717e-05,1.811990784632222e-05,1.8206964860434383e-05,1.2789240038445208e-05,1.1320640295529472e-05,1.86487478757158e-05,2.334005031337516e-05,3.936836061567623e-05,16.47063255067484,1.8119907766271356e-05
primary,transition,1,3,L2,31,201,0.39068464211259596,0.34330196437614935,0.5574263792853417,0.7507582357427418,0.8758119198143062,0.38622249228426037,0.34158255641054974,0.557172359411215,0.689164870860186,0.8664795419714656,1.6770509831248426,
primary,transition,1,3,Linf,31,201,0.4072770166186696,0.35972948360744517,0.6029100279323345,0.6029100279323377,0.6029100279323387,0.4084434359531021,0.3621067829619825,0.6019771476306444,0.6050162636922809,0.605157955495406,1.6770509831248426,0.6029100279323366
primary,transition,2,6,L2,31,201,0.39068464211259596,0.34330196437614946,0.5574263792853462,0.7507582357427309,0.8758119198143186,0.38622249228426037,0.34158255641054974,0.557172359411215,0.6891648708601762,0.866479541971478,2.8165355891089043,
primary,transition,2,6,Linf,31,201,0.4072770166186698,0.3597294836074453,0.6029100279323363,0.6029100279323367,0.602910027932337,0.40844343595310234,0.3621067829619827,0.6019771476306431,0.60501626369228,0.6051579554954043,2.8165355891089043,0.6029100279323367
primary,transition,3,10,L2,31,201,0.22843038334630672,0.19520338973289134,0.39051344108327946,0.41775560963826625,0.7048361211769366,0.22489474199440887,0.19353738267106385,0.39078971235751225,0.41637086468503437,0.6813869961608481,3.52874327028453,
primary,transition,3,10,Linf,31,201,0.2600014265205219,0.23278915220021792,0.36927569708693275,0.36927569708774893,0.3692756970907333,0.2599835354016997,0.2336096108180939,0.36842589729106223,0.3696342664824358,0.3698668607572655,3.52874327028453,0.36927569708695374
primary,transition,4,15,L2,31,201,0.22843038334630672,0.19520338973289136,0.39051344108327957,0.41775560963826613,0.7048361211769394,0.22489474199440887,0.19353738267106382,0.39078971235751225,0.4163708646850345,0.6813869961608512,4.428298804535025,
primary,transition,4,15,Linf,31,201,0.26000142652052227,0.23278915220017848,0.3692756970869534,0.3692756970869729,0.36927569708697594,0.25998353540169905,0.23360961081808765,0.3684258972911326,0.36963426648250264,0.369866860757206,4.428298804535025,0.3692756970869598
primary,transition,5,21,L2,31,201,0.14344353325310147,0.12069079711462044,0.26370525586452026,0.2848733934197562,0.49986707035406286,0.14106335788500235,0.12006090898894249,0.2633110146644644,0.28441469561535904,0.46541956449216004,5.144739949812352,
primary,transition,5,21,Linf,31,201,0.16921099005315113,0.15175885578095272,0.2379110200617397,0.23791102006174447,0.23791102006176246,0.1691404408477714,0.15219251925515762,0.2386094496683222,0.23944466188179658,0.23976114430488576,5.144739949812352,0.2379110200617394
primary,transition,6,28,L2,31,201,0.14344353325310144,0.12069079711462037,0.26370525586451793,0.28487339341975365,0.4998670703540744,0.1410633578850024,0.12006090898894267,0.26331101466446094,0.2844146956153566,0.4654195644921709,5.988847135087288,
primary,transition,6,28,Linf,31,201,0.16921099005315923,0.1517588557809653,0.23791102006175702,0.23791102006183806,0.23791102006331855,0.16914044084777563,0.15219251925516203,0.23860944966837638,0.23944466188187608,0.2397611443050332,5.988847135087288,0.23791102006175321
primary,transition,7,36,L2,31,201,0.09262444069348266,0.0771757209815166,0.17649049848576115,0.2001475756933914,0.32116985954867827,0.09123163123286825,0.0770201956787033,0.17718139886087325,0.1984993572955247,0.28192005112158647,6.8447319243474425,
primary,transition,7,36,Linf,31,201,0.11248981996050897,0.10098061658919326,0.1581439601356769,0.15814396013787993,0.1581439601677197,0.11237429391621036,0.1011199492870458,0.15828398500286106,0.15933190046820223,0.16157823169091223,6.8447319243474425,0.1581439601355668
primary,transition,8,45,L2,31,201,0.09262444069348266,0.07717572098151668,0.17649049848576348,0.20014757569339192,0.3211698595486807,0.09123163123286829,0.0770201956787034,0.17718139886087453,0.19849935729552592,0.2819200511215896,7.803290381030962,
primary,transition,8,45,Linf,31,201,0.11248981996001733,0.10098061658862448,0.15814396013558385,0.15814396013565468,0.15814396013633236,0.11237429391581637,0.10111994928667328,0.15828398500286073,0.15933190046612922,0.1615782316881793,7.803290381030962,0.15814396013556808
primary,transition,9,55,L2,31,201,0.06056326553969074,0.0499327848150463,0.11774189315770656,0.1380883247624966,0.1869946575135546,0.0598804488298749,0.05014814732805393,0.11804030899398166,0.13706968380541174,0.14983057464171334,8.740126263391407,
primary,transition,9,55,Linf,31,201,0.07507960876486074,0.06760890417438209,0.10407001851800257,0.10407002954871673,0.10407006148562326,0.07497403436924706,0.06746376438453773,0.10617385766874121,0.10823790152281682,0.10936204383024695,8.740126263391407,0.10407001851471084
primary,transition,10,66,L2,31,201,0.060563265539690735,0.04993278481504621,0.11774189315770706,0.13808832476249644,0.18699465751355926,0.059880448829874915,0.05014814732805392,0.11804030899398188,0.1370696838054113,0.14983057464171534,9.760800153575802,
primary,transition,10,66,Linf,31,201,0.07507961475313857,0.06760890761584891,0.10407001852577735,0.10407001852779837,0.10407001859341136,0.07497403967902276,0.06746376881743928,0.10617385768703347,0.10823830598425999,0.10936204327320143,9.760800153575802,0.10407001852577198
primary,transition,11,78,L2,31,201,0.03982252059884225,0.032809958281919085,0.07819265874819137,0.09338183155653744,0.09907861167222487,0.03959342056309427,0.03287942928305073,0.0779785733719014,0.09415246290540913,0.09815962307152976,10.761903124203743,
