degree,regime,d,mean_pair_max_error,min_pair_max_error,max_pair_max_error,mean_prediction_difference,bound_satisfaction_rate
3,preserved,0.75,8.648637361829969e-16,3.3306690738754696e-16,1.887379141862766e-15,1.5000000000000009,0.0
3,preserved,1.0,1.0160761121369432e-15,2.220446049250313e-16,2.4424906541753444e-15,2.000000000000001,0.0
3,representational_loss,0.1,0.11763761135767085,0.1000648026497863,0.17106166505982473,0.0,1.0
3,representational_loss,0.25,0.26763761135767083,0.2500648026497863,0.3210616650598247,0.0,1.0
3,representational_loss,0.5,0.5176376113576708,0.5000648026497863,0.5710616650598247,0.0,1.0
3,representational_loss,0.75,0.7676376113576708,0.7500648026497863,0.8210616650598247,0.0,1.0
3,representational_loss,1.0,1.0176376113576708,1.0000648026497863,1.0710616650598248,0.0,1.0
4,observational_loss,0.1,0.11979525324742349,0.10003269114920231,0.15123480173876042,0.0,1.0
4,observational_loss,0.25,0.2697952532474235,0.2500326911492023,0.30123480173876044,0.0,1.0
4,observational_loss,0.5,0.5197952532474235,0.5000326911492023,0.5512348017387604,0.0,1.0
4,observational_loss,0.75,0.7697952532474235,0.7500326911492023,0.8012348017387604,0.0,1.0
4,observational_loss,1.0,1.0197952532474235,1.0000326911492023,1.0512348017387605,0.0,1.0
4,preserved,0.1,4.480832371811516e-15,3.927413949611491e-15,4.760081218080359e-15,0.20000000000000034,0.0
4,preserved,0.25,4.690470234436361e-15,4.052314039881821e-15,5.051514762044462e-15,0.5000000000000008,0.0
4,preserved,0.5,4.952038779038048e-15,4.218847493575595e-15,5.329070518200751e-15,1.0000000000000016,0.0
4,preserved,0.75,5.24780219279819e-15,4.440892098500626e-15,5.662137425588298e-15,1.5000000000000022,0.0
4,preserved,1.0,5.855316231873076e-15,4.884981308350689e-15,6.217248937900877e-15,2.000000000000003,0.0
4,representational_loss,0.1,0.11979525324742349,0.10003269114920231,0.15123480173876042,0.0,1.0
4,representational_loss,0.25,0.2697952532474235,0.2500326911492023,0.30123480173876044,0.0,1.0
4,representational_loss,0.5,0.5197952532474235,0.5000326911492023,0.5512348017387604,0.0,1.0
4,representational_loss,0.75,0.7697952532474235,0.7500326911492023,0.8012348017387604,0.0,1.0
4,representational_loss,1.0,1.0197952532474235,1.0000326911492023,1.0512348017387605,0.0,1.0
5,observational_loss,0.1,0.119834166381465,0.10007362895336003,0.14045259028741347,0.0,1.0
5,observational_loss,0.25,0.269834166381465,0.25007362895336005,0.29045259028741344,0.0,1.0
5,observational_loss,0.5,0.5198341663814651,0.50007362895336,0.5404525902874134,0.0,1.0
5,observational_loss,0.75,0.7698341663814651,0.75007362895336,0.7904525902874134,0.0,1.0
5,observational_loss,1.0,1.019834166381465,1.00007362895336,1.0404525902874135,0.0,1.0
5,preserved,0.1,4.88573070889231e-15,4.524158825347513e-15,5.190292640122607e-15,0.20000000000000023,0.0
5,preserved,0.25,5.069278330438464e-15,4.773959005888173e-15,5.440092820663267e-15,0.5000000000000006,0.0
5,preserved,0.5,5.31841237716435e-15,5.10702591327572e-15,5.88418203051333e-15,1.0000000000000009,0.0
5,preserved,0.75,5.7218674243131314e-15,5.440092820663267e-15,6.5503158452884236e-15,1.5000000000000013,0.0
