provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference
openai,CP02,semantic,0.75,15,30,6.114110329458467,6.1013083460701205,0.6222861470817311,0.4942492762463003,1.0,0.4692985126266328,1.0
openai,CP02,semantic,0.75,20,30,7.813720367944647,7.841369569366548,0.6398204731678978,0.47867477359081956,1.0,0.32177327562960734,1.0
openai,CP02,semantic,0.75,25,30,9.709755707048913,9.728423451322856,0.6148425706659713,0.4711243594348486,1.0,0.15719842821035518,1.0
openai,CP02,semantic,0.75,30,30,11.520808731325403,11.54261264227993,0.4979009364569653,0.46657336337166444,1.0,0.0,1.0
openai,CP02,semantic,1.0,3,30,1.5947991506824666,1.6160041307140611,0.27718776372836823,0.6637464219826017,0.994,0.8474173619174986,0.994
openai,CP02,semantic,1.0,5,30,2.2650293241122714,2.2915629142998686,0.3857714227491307,0.5543935653777747,1.0,0.7832929936917885,1.0
openai,CP02,semantic,1.0,7,30,2.9051301002449867,2.9222932064867626,0.43577076456025743,0.5131733114977934,1.0,0.7220512598852518,1.0
openai,CP02,semantic,1.0,10,30,4.033456768428168,4.029843336950719,0.5413133636342496,0.4790571858167231,1.0,0.6140984436471977,1.0
openai,CP02,semantic,1.0,15,30,5.64494037893733,5.640833842775964,0.56699734244384,0.4563227593883483,1.0,0.4599195174714594,1.0
openai,CP02,semantic,1.0,20,30,7.118580296066938,7.130202058809776,0.5829732785664636,0.4360899355301896,1.0,0.31892880648249694,1.0
openai,CP02,semantic,1.0,25,30,8.819022334972367,8.851364660662023,0.5497820781416382,0.42790533292091093,1.0,0.1562387698772307,1.0
openai,CP02,semantic,1.0,30,30,10.452035504984245,10.46767843151542,0.46213694549253,0.4232898465175303,1.0,0.0,1.0
openai,CP02,context_removal,0.25,3,30,0.8126870186659931,0.8241350407559694,0.15518360166225734,0.3382357587790451,0.128,0.7350149513305708,0.128
openai,CP02,context_removal,0.25,5,30,0.9980747134409416,1.0105066321822376,0.16384294690563858,0.2442909648045234,0.495,0.6745673667200887,0.495
openai,CP02,context_removal,0.25,7,30,1.1525484478077805,1.1643333742340018,0.16576174516130193,0.20359057364531918,0.854,0.6241996001885939,0.854
openai,CP02,context_removal,0.25,10,30,1.4439004422966857,1.4576677618099196,0.18841728794396784,0.17149331756832753,0.999,0.5292012543723826,0.999
openai,CP02,context_removal,0.25,15,30,1.820553252137684,1.8346707757423666,0.19316894248963948,0.14716893852921287,1.0,0.4063896911816408,1.0
openai,CP02,context_removal,0.25,20,30,2.220090696390827,2.226637708554163,0.18017106759113968,0.13600453579138017,1.0,0.27611635510145577,1.0
openai,CP02,context_removal,0.25,25,30,2.6694807228496393,2.671489754018276,0.17460841563720475,0.12952513261102971,1.0,0.1295880664766243,1.0
openai,CP02,context_removal,0.25,30,30,3.066916502446997,3.078136891205929,0.14362645891091028,0.1242049565353851,1.0,0.0,1.0
openai,CP02,context_removal,0.5,3,30,1.81498328431015,1.815689486520786,0.2013636787165919,0.7553858179593134,1.0,0.8531221056833623,1.0
openai,CP02,context_removal,0.5,5,30,2.6045598341136698,2.6130845331467483,0.2696048799897707,0.6374978007138815,1.0,0.7892254615437354,1.0
openai,CP02,context_removal,0.5,7,30,3.3525933366123635,3.369807081671264,0.31628911863665665,0.5922149319611256,1.0,0.7286906970227127,1.0
openai,CP02,context_removal,0.5,10,30,4.703877498709865,4.701459025946946,0.37657800638351524,0.5586836419314618,1.0,0.6193377492198132,1.0
openai,CP02,context_removal,0.5,15,30,6.5061841448370235,6.530654487747084,0.4180650699352175,0.5259435357614276,1.0,0.47348571444658133,1.0
openai,CP02,context_removal,0.5,20,30,8.38213634517384,8.406444823237594,0.4534791022568694,0.5134963920252094,1.0,0.32167389810312547,1.0
openai,CP02,context_removal,0.5,25,30,10.421793147518631,10.4241724857721,0.46854007022416033,0.5056729302903846,1.0,0.15661425328613438,1.0
openai,CP02,context_removal,0.5,30,30,12.357089490930678,12.354724692628235,0.4577523063517648,0.5004413266224661,1.0,0.0,1.0
openai,CP02,context_removal,0.75,3,30,2.5208106773116232,2.5134034268837557,0.18756931566506513,1.049147202545926,1.0,0.8711826218293932,1.0
openai,CP02,context_removal,0.75,5,30,3.810398055744937,3.815473440214418,0.2502599476496386,0.9326414193162414,1.0,0.8052826847548449,1.0
openai,CP02,context_removal,0.75,7,30,5.0038789755770186,5.009709587917907,0.2849073768078004,0.883904353892619,1.0,0.7442939384070336,1.0
openai,CP02,context_removal,0.75,10,30,7.127206885366487,7.126824011423425,0.37295353619999133,0.8465045912882819,1.0,0.6357885528985681,1.0
openai,CP02,context_removal,0.75,15,30,10.16179153717216,10.178108459573851,0.41591288679048344,0.8214536280796823,1.0,0.48071651904822643,1.0
openai,CP02,context_removal,0.75,20,30,13.169586529482029,13.170605847758598,0.45502561418774445,0.806779428164094,1.0,0.32701347880355036,1.0
openai,CP02,context_removal,0.75,25,30,16.45788438269247,16.469454649227387,0.46962115121794323,0.7985484363751697,1.0,0.15897630254628733,1.0
openai,CP02,context_removal,0.75,30,30,19.56887116560501,19.581641345797177,0.4557845018626491,0.7925063465638078,1.0,0.0,1.0
openai,CP02,context_removal,1.0,3,30,2.073714136840204,2.0719505114637533,0.20146218631382357,0.8630681411846811,1.0,0.8489383615365904,1.0
openai,CP02,context_removal,1.0,5,30,2.972393029770926,2.981956095058414,0.26656386820595807,0.7275294637187968,1.0,0.7834732602447343,1.0
openai,CP02,context_removal,1.0,7,30,3.7794382614637465,3.778680994677684,0.29564632201926666,0.6676144548821608,1.0,0.7246832983846277,1.0
openai,CP02,context_removal,1.0,10,30,5.219146756972645,5.227229851136895,0.3814154642004155,0.6198826221048461,1.0,0.6198063915932923,1.0
openai,CP02,context_removal,1.0,15,30,7.273535902781807,7.293507036050096,0.42581448585668064,0.587974318746027,1.0,0.47015250010743287,1.0
openai,CP02,context_removal,1.0,20,30,9.324741890253197,9.342841508855185,0.4586893242783536,0.571241163354286,1.0,0.32073048875656884,1.0
openai,CP02,context_removal,1.0,25,30,11.584670418888807,11.612233061739705,0.43998783585269496,0.5620965753443888,1.0,0.1561038894191673,1.0
openai,CP02,context_removal,1.0,30,30,13.727602572922592,13.742467064492576,0.43702512488135914,0.5559447997832664,1.0,0.0,1.0
openai,CP02,surface,0.25,3,30,1.670938399966781,1.6817309779002312,0.21312518135682174,0.6954351485932715,1.0,0.8358548105654113,1.0
openai,CP02,surface,0.25,5,30,2.3359354455639982,2.3464366582168488,0.29566161459779117,0.5717487038125226,1.0,0.7705286046291739,1.0
openai,CP02,surface,0.25,7,30,2.914401151963712,2.917139083395872,0.3193918345220998,0.5148109855940979,1.0,0.7137028335772417,1.0
openai,CP02,surface,0.25,10,30,3.985140256132887,4.011392758428159,0.3988245671271705,0.47331859142051314,1.0,0.6085184215771554,1.0
openai,CP02,surface,0.25,15,30,5.5009447394042414,5.509688416042609,0.4286158343798467,0.4446825146451437,1.0,0.4596128640429449,1.0
