provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd,B
openai,CR02,20,0.24906794536999258,0.0691274203088418,0.04162557621755078,0.03843715872264508,0.01374008350949205,2000
openai,CR02,25,0.24906794536999258,0.05547873207013328,0.03365702800075701,0.031092030732467024,0.011250757600312586,2000
openai,CR02,30,0.24906794536999258,0.04526794296092557,0.027533750377594677,0.025332156737360556,0.009026644750185744,2000
openai,CR03,3,0.28289892887606294,0.3678454285463898,0.2598822545939388,0.2543676319982413,0.06208657154207826,2000
openai,CR03,5,0.28289892887606294,0.22569001549209847,0.15657231174345432,0.15190584536392393,0.03741527832935158,2000
openai,CR03,7,0.28289892887606294,0.15925673181248634,0.11124677900749126,0.10850267528709157,0.02658905241324633,2000
openai,CR03,10,0.28289892887606294,0.11032425911248958,0.07753092763536981,0.07518992672253832,0.0181131993507883,2000
openai,CR03,15,0.28289892887606294,0.07454043351409649,0.051891183314426485,0.05023909356946088,0.012109398415712314,2000
openai,CR03,20,0.28289892887606294,0.05532858596848389,0.03865221273066771,0.03738182628196263,0.009107092217032486,2000
openai,CR03,25,0.28289892887606294,0.04590195939922793,0.031275053495973135,0.030132983539642555,0.00772750117418653,2000
openai,CR03,30,0.28289892887606294,0.03727317950519361,0.02598376509870126,0.025035796523971254,0.006119274741662289,2000
openai,CR04,3,0.2693026435507786,0.4039452164487275,0.2542118601556248,0.2426469497369621,0.07848486368273434,2000
openai,CR04,5,0.2693026435507786,0.24857623225808081,0.15586905662496575,0.14720624683146666,0.049129877386670254,2000
openai,CR04,7,0.2693026435507786,0.1751170224948688,0.11099449036275863,0.10528400675709015,0.033591434300784005,2000
openai,CR04,10,0.2693026435507786,0.12381317956361422,0.07819895794149158,0.07343949196269595,0.02447742346708975,2000
openai,CR04,15,0.2693026435507786,0.08273080041255573,0.05226111976345456,0.04932398991104159,0.01658193771921081,2000
openai,CR04,20,0.2693026435507786,0.06317819799864428,0.039125215921568764,0.036462987874608555,0.012483621872015795,2000
openai,CR04,25,0.2693026435507786,0.048193415077581514,0.0309638046003838,0.029203511893747702,0.00945747957891576,2000
openai,CR04,30,0.2693026435507786,0.041572730074794235,0.025969745205573262,0.02433288012766721,0.008249241476421594,2000
openai,CR05,3,0.2705882683596469,0.421808240980315,0.2666410013195045,0.2556651048147893,0.07917597923889959,2000
openai,CR05,5,0.2705882683596469,0.2535724631335171,0.16080714020115652,0.15258297536301413,0.0484186792682359,2000
openai,CR05,7,0.2705882683596469,0.1748070591032011,0.11316043584961702,0.10692367771772093,0.03347147311671367,2000
openai,CR05,10,0.2705882683596469,0.12451164593859339,0.08017633863223796,0.0750857920607535,0.023109930505808406,2000
openai,CR05,15,0.2705882683596469,0.0809260685591278,0.052580825530654546,0.049889837750178745,0.015617295386327282,2000
openai,CR05,20,0.2705882683596469,0.06313469601466154,0.03969374948607212,0.03786197881875897,0.011721876494078267,2000
openai,CR05,25,0.2705882683596469,0.049676010309977967,0.03162150996595652,0.029871488043330174,0.009386971021221515,2000
openai,CR05,30,0.2705882683596469,0.04106566566662043,0.026639080197866396,0.02529190081521515,0.007606617514454543,2000
openai,EX01,3,0.2794632079238498,0.37902495505447265,0.2675665922507739,0.2608975927017174,0.06216514868856074,2000
openai,EX01,5,0.2794632079238498,0.23106123583529123,0.16067363756689718,0.15509805047074965,0.03777848580384249,2000
openai,EX01,7,0.2794632079238498,0.1627953679078323,0.11399294584475926,0.110529278566462,0.02627926226772054,2000
openai,EX01,10,0.2794632079238498,0.11285764413780706,0.07923981287328227,0.0766355533329347,0.017930982491660544,2000
openai,EX01,15,0.2794632079238498,0.0748905006277992,0.05331953388981862,0.05174758915595479,0.011760716738081968,2000
openai,EX01,20,0.2794632079238498,0.05607113521517577,0.03981571406577989,0.0385845359153304,0.008755893750284635,2000
openai,EX01,25,0.2794632079238498,0.04518898161041068,0.032114434449744704,0.031119914822267725,0.007100388722901953,2000
openai,EX01,30,0.2794632079238498,0.03750194728824624,0.026840088338489693,0.0261270239269501,0.005850396511817094,2000
openai,EX02,3,0.32580082054474346,0.39561483577529805,0.2609507986771321,0.24857981415841646,0.07141657384134019,2000
openai,EX02,5,0.32580082054474346,0.23707139166294033,0.15802310712803375,0.15136912502953326,0.04290095624082647,2000
openai,EX02,7,0.32580082054474346,0.16947643481278368,0.11291355530039177,0.10600448540039231,0.031225986314330396,2000
openai,EX02,10,0.32580082054474346,0.11747087247074359,0.07807826404622854,0.07365507600481525,0.021475930246794707,2000
openai,EX02,15,0.32580082054474346,0.08006148939582056,0.05261918336847368,0.049694920091805095,0.014490551405706568,2000
openai,EX02,20,0.32580082054474346,0.05964966874147326,0.039617567961512945,0.03739847169816912,0.010917097314895527,2000
openai,EX02,25,0.32580082054474346,0.048108206000982846,0.03163113099056708,0.029954465665878782,0.008464322995697745,2000
openai,EX02,30,0.32580082054474346,0.04046683204097799,0.026181619581388423,0.024699873975569053,0.007448876638040778,2000
openai,EX03,3,0.2722313682111591,0.38022776625172566,0.2670042741669664,0.26045762245474746,0.06408498695133634,2000
openai,EX03,5,0.2722313682111591,0.22801547135156677,0.1601758395773612,0.15490349057312724,0.03733529902017926,2000
openai,EX03,7,0.2722313682111591,0.1630175535361729,0.11425674228249362,0.11078849183948536,0.02650186295043437,2000
openai,EX03,10,0.2722313682111591,0.11415555590611698,0.08026816314736275,0.0768172399255942,0.018270763033544662,2000
openai,EX03,15,0.2722313682111591,0.07555524664658404,0.053583183888802705,0.05179839389452989,0.011613546800852005,2000
openai,EX03,20,0.2722313682111591,0.056621756143139336,0.040079412963403796,0.03868400915713577,0.008878992790475519,2000
openai,EX03,25,0.2722313682111591,0.045050890441461,0.031885396525190464,0.03074865171350738,0.007064091261122932,2000
openai,EX03,30,0.2722313682111591,0.03751397690003002,0.026704619733984268,0.025875787129595706,0.005795727222736459,2000
openai,EX04,3,0.3383352398725664,0.43250900256569513,0.25295577055506613,0.23281262015180426,0.09207118894837818,2000
openai,EX04,5,0.3383352398725664,0.2674231889267141,0.15126316820118174,0.1368273108747169,0.059638538501466755,2000
openai,EX04,7,0.3383352398725664,0.1945001995218203,0.109272785681682,0.09833897782236112,0.04289895053452651,2000
openai,EX04,10,0.3383352398725664,0.13770552384929297,0.07709752290874078,0.06880471240124408,0.032062782865308496,2000
openai,EX04,15,0.3383352398725664,0.09097455100635374,0.05112054759761318,0.04613236884956895,0.019925792400368812,2000
openai,EX04,20,0.3383352398725664,0.06617660434066816,0.03747082537927538,0.03411308696236126,0.014315354976973189,2000
openai,EX04,25,0.3383352398725664,0.0539020012597874,0.030352254925743526,0.02725649930940499,0.012672910411491498,2000
openai,EX04,30,0.3383352398725664,0.042919925779875086,0.025317444895720152,0.023048097598784345,0.009731255539348446,2000
openai,EX05,3,0.3286825042344128,0.43472363265637654,0.26658545783833026,0.24931637773252646,0.0854049925769409,2000
openai,EX05,5,0.3286825042344128,0.25688303751559854,0.15850504012896943,0.14798629497538707,0.051864869755835395,2000
openai,EX05,7,0.3286825042344128,0.1800879356171197,0.11320060669570106,0.10507416457001284,0.03651100837030851,2000
openai,EX05,10,0.3286825042344128,0.12711453381550208,0.07942840279410762,0.0739359980898684,0.025418932874720957,2000
openai,EX05,15,0.3286825042344128,0.08836188869720679,0.05418790723711689,0.04980950015271457,0.018428322888891895,2000
openai,EX05,20,0.3286825042344128,0.06612088748269467,0.03993649519596079,0.03696606432240579,0.013022344865444192,2000
openai,EX05,25,0.3286825042344128,0.05156145638512209,0.03174431181881151,0.029482293895953582,0.010696813618645986,2000
openai,EX05,30,0.3286825042344128,0.04179457868194089,0.026127427945984622,0.02457397814405904,0.008116798908313494,2000
openai,SU01,3,0.3345601401197642,0.5276036729625282,0.25560903799535584,0.2123386980177533,0.1414658125752533,2000
openai,SU01,5,0.3345601401197642,0.3377533535514228,0.15701244473772705,0.1319276551716958,0.08920920255035511,2000
openai,SU01,7,0.3345601401197642,0.23611740141900223,0.10981086584737944,0.09224130501343553,0.06309359253180087,2000
openai,SU01,10,0.3345601401197642,0.16381196491942124,0.07629421664982045,0.06411370612340717,0.04461881160804764,2000
openai,SU01,15,0.3345601401197642,0.10668873150333431,0.05069929208392476,0.0422138213542711,0.028977054657981515,2000
openai,SU01,20,0.3345601401197642,0.07827855212094874,0.037705537601295344,0.03200587661986154,0.020875177660636294,2000
openai,SU01,25,0.3345601401197642,0.06599649114018445,0.030242581417055818,0.02561712359823043,0.017180325574070447,2000
openai,SU01,30,0.3345601401197642,0.05573993669033471,0.026014931192585335,0.021578171153800785,0.01610711302948258,2000
openai,SU02,3,0.2948578361106637,0.4839075255295319,0.21196537844140192,0.1593704337915397,0.15878480214735533,2000
