provider,perturbation_family,sample_size,reference_n,median_relative_deviation,q90_relative_deviation,mean_exceedance_agreement,median_exceedance_agreement,mean_exceedance_rate,median_rank_stability,mean_rank_stability
gemini,surface,25,30,0.1485093262182896,0.19798595314423464,1.0,1.0,1.0,1.0,1.0
gemini,surface,30,30,0.0,0.0,1.0,1.0,1.0,1.0,1.0
openai,context_removal,3,30,0.8521073466981661,0.8712067422930937,0.87095,1.0,0.87095,1.0,0.95
openai,context_removal,5,30,0.7928334520523106,0.8097790633038086,0.9187875,1.0,0.9187875,1.0,0.9800000000000001
openai,context_removal,7,30,0.7245872274415677,0.7442948206986373,0.9603125,1.0,0.9603125,1.0,0.9800000000000001
openai,context_removal,10,30,0.6301459966304603,0.6470845489043101,0.9873875,1.0,0.9873875,1.0,0.9800000000000001
openai,context_removal,15,30,0.46980239034716076,0.49791650959920397,0.9987875,1.0,0.9987875,1.0,0.99
openai,context_removal,20,30,0.3109083895948172,0.32978064358516995,0.9999125,1.0,0.9999125,1.0,0.99
openai,context_removal,25,30,0.15659386197550051,0.1789110782080827,1.0,1.0,1.0,1.0,0.9800000000000001
openai,context_removal,30,30,0.0,0.0,1.0,1.0,1.0,1.0,1.0
openai,semantic,3,30,0.8221852763112814,0.8625966764811122,0.7983875,0.9595,0.7320125,1.0,0.9800000000000001
openai,semantic,5,30,0.7667677500411465,0.8033702104078854,0.88285,1.0,0.81805,1.0,0.99
openai,semantic,7,30,0.6997992613590858,0.7355123290552688,0.918175,1.0,0.855175,1.0,0.9800000000000001
openai,semantic,10,30,0.609283996996983,0.6394519664151636,0.9415749999999999,1.0,0.8804000000000001,1.0,0.99
openai,semantic,15,30,0.454022541768315,0.4870669949368192,0.9523125,1.0,0.8936624999999999,1.0,1.0
openai,semantic,20,30,0.29583461985764836,0.32398272072066614,0.9587625,1.0,0.9050874999999999,1.0,1.0
openai,semantic,25,30,0.14990351599314544,0.1775938790075215,0.9645125,1.0,0.9142875,1.0,1.0
openai,semantic,30,30,0.0,0.0,1.0,1.0,0.9259499999999999,1.0,1.0
openai,surface,3,30,0.8503646612121418,0.8707547997356435,0.9323625,1.0,0.9323625,1.0,0.95
openai,surface,5,30,0.789461801299352,0.8084169984480243,0.9808875,1.0,0.9808875,1.0,0.96
openai,surface,7,30,0.7228205428057939,0.7402913051370197,0.9934125,1.0,0.9934125,1.0,0.96
openai,surface,10,30,0.6282483792959828,0.6443703994828074,0.9985125,1.0,0.9985125,1.0,0.9800000000000001
openai,surface,15,30,0.4715802231719668,0.48911269226848725,0.9999750000000001,1.0,0.9999750000000001,1.0,0.99
openai,surface,20,30,0.31238062581633064,0.33107997053353627,1.0,1.0,1.0,1.0,0.99
openai,surface,25,30,0.15878812037318268,0.17778403369544102,1.0,1.0,1.0,1.0,0.99
openai,surface,30,30,0.0,0.0,1.0,1.0,1.0,1.0,1.0
qwen,context_removal,3,30,0.8680409679796649,0.8824897679792323,0.9415125,1.0,0.9415125,1.0,0.97
qwen,context_removal,5,30,0.8041438335975455,0.8191398408531848,0.9697374999999999,1.0,0.9697374999999999,1.0,0.99
qwen,context_removal,7,30,0.7387965661622264,0.7612613907005316,0.98235,1.0,0.98235,1.0,0.99
qwen,context_removal,10,30,0.6439405533823733,0.6640090347188216,0.9942875000000001,1.0,0.9942875000000001,1.0,1.0
qwen,context_removal,15,30,0.48205322411389817,0.5014002926593882,0.999625,1.0,0.999625,1.0,1.0
qwen,context_removal,20,30,0.32400192463529076,0.34573820051847604,0.9999750000000001,1.0,0.9999750000000001,1.0,1.0
qwen,context_removal,25,30,0.1683046887246419,0.183144952891729,1.0,1.0,1.0,1.0,1.0
qwen,context_removal,30,30,0.0,0.0,1.0,1.0,1.0,1.0,1.0
qwen,semantic,3,30,0.8612076347752493,0.8834412527733437,0.8403625,1.0,0.8209125,1.0,0.96
qwen,semantic,5,30,0.7993198058142827,0.8231362125996466,0.910225,1.0,0.89115,1.0,0.97
qwen,semantic,7,30,0.7344305875813479,0.7606724897532282,0.9531124999999999,1.0,0.9337875,1.0,0.99
qwen,semantic,10,30,0.6386043566694903,0.6701120693459652,0.97645,1.0,0.957925,1.0,1.0
qwen,semantic,15,30,0.4809467279719152,0.5037217679737729,0.9848250000000001,1.0,0.9669000000000001,1.0,1.0
qwen,semantic,20,30,0.31471701266338353,0.34490206544764207,0.9862375,1.0,0.9699875,1.0,1.0
qwen,semantic,25,30,0.1641497275960112,0.1834100952592726,0.9879875,1.0,0.9728875,1.0,1.0
qwen,semantic,30,30,0.0,0.0,1.0,1.0,0.978575,1.0,1.0
qwen,surface,3,30,0.8674082016446052,0.8849879090377737,0.9760624999999999,1.0,0.9760624999999999,1.0,0.96
qwen,surface,5,30,0.8071415436719944,0.8240781097899134,0.9976625,1.0,0.9976625,1.0,0.97
qwen,surface,7,30,0.7432978396990707,0.7617718008322972,0.9999375,1.0,0.9999375,1.0,0.99
qwen,surface,10,30,0.6479190895578237,0.663768618305889,1.0,1.0,1.0,1.0,1.0
qwen,surface,15,30,0.4829836739849219,0.5024174438892749,1.0,1.0,1.0,1.0,1.0
qwen,surface,20,30,0.32532287533907217,0.3483905358457919,1.0,1.0,1.0,1.0,1.0
qwen,surface,25,30,0.16719217269244455,0.18362969381965422,1.0,1.0,1.0,1.0,1.0
qwen,surface,30,30,0.0,0.0,1.0,1.0,1.0,1.0,1.0
