regime,degree,n_features,train_rmse,train_mae,train_max_error,test_rmse,test_mae,test_max_error,test_bias,condition_number
preserved,16,153,3.10074720878109e-15,2.718200946445759e-15,6.217248937900877e-15,3.1113808165855114e-15,2.7412543562128564e-15,5.995204332975845e-15,-2.7391671369265612e-15,27.180951827291867
observational_loss,1,2,0.58204700827146,0.5056804767362095,1.0091970961692942,0.581618789848868,0.5033488770068145,1.0081995960167636,-0.008090173088614875,1.734890276492143
observational_loss,2,3,0.5820230137199953,0.5056111775535691,1.0137001444460745,0.5815821888277845,0.5032898321280878,1.015451385043118,-0.008144634793178233,2.239454488389254
observational_loss,3,4,0.5820220767593892,0.5056169013776122,1.012829851707386,0.5815871794483787,0.5033002642556297,1.0145682928660795,-0.008132093818921542,2.6477899220885694
observational_loss,4,5,0.582010824478258,0.5055910800129009,1.0148747925483594,0.5815460331166736,0.5032599377411723,1.0150744366873654,-0.00812785854220289,2.9886891972564293
observational_loss,5,6,0.5816709069055923,0.5051634641827479,1.0378420647520197,0.5814455319233632,0.503020068492744,1.0540049753574303,-0.008173452373542217,3.3167807724209117
observational_loss,6,7,0.581257302991284,0.5044690061569573,1.0836941198979981,0.581731762764548,0.5033030096850987,1.1112353149684453,-0.008230286410040335,3.622563055190627
observational_loss,7,8,0.5812074214356736,0.5044168697195397,1.0971197643901875,0.5817209865915453,0.5032119747020273,1.1321890832016577,-0.008360886566031107,3.87213888128784
observational_loss,8,9,0.5812049269310251,0.5044195191490211,1.0948435952449587,0.581749939714172,0.5032492077054128,1.1277834447670894,-0.008356556637973134,4.162604704951327
observational_loss,9,10,0.5812046210049335,0.5044217168898365,1.0943423500410303,0.5817480306758582,0.503244536988489,1.1263905704904327,-0.008354361328481491,4.378669910907117
observational_loss,10,11,0.5810281438260897,0.5042973067211335,1.0899504917137353,0.5817224213539988,0.5031331643003124,1.0970671091183257,-0.008337031927346104,4.627606328555158
observational_loss,11,12,0.5808221469577628,0.5041304574396371,1.1004479660523028,0.5818173374816678,0.5030990327367233,1.124201570313754,-0.008447620780534506,4.87858744517539
observational_loss,12,13,0.5805884921758745,0.5039028979214315,1.127860635900321,0.5819699236815322,0.5031599828954103,1.1477685626761995,-0.008012123498549151,5.0849867438122
observational_loss,13,14,0.5805150367425874,0.5038282999618249,1.1542719724062418,0.5820034745277112,0.5032397402797569,1.1574398546909295,-0.008226719450461566,5.256995093989684
observational_loss,14,15,0.5805133652346813,0.5038195847342233,1.157921640585997,0.5820166721135123,0.5032569761023772,1.1583144560246208,-0.008259944548998623,5.4030840764753405
observational_loss,15,16,0.5804311470915436,0.503716686668056,1.1803584652359125,0.5821321090218224,0.5033097680523784,1.159989448322054,-0.008441115607011624,5.69666361783652
observational_loss,16,17,0.5804135332443356,0.5036903581297427,1.189366811269703,0.5822136107921927,0.5034155687603313,1.1587295095095407,-0.00844142507226911,5.9306257532931514
representational_loss,1,2,0.58204700827146,0.5056804767362095,1.0091970961692942,0.581618789848868,0.5033488770068145,1.0081995960167636,-0.008090173088614875,1.734890276492143
representational_loss,2,3,0.5820230137199953,0.5056111775535691,1.0137001444460745,0.5815821888277845,0.5032898321280878,1.015451385043118,-0.008144634793178233,2.239454488389254
representational_loss,3,4,0.5820220767593892,0.5056169013776122,1.012829851707386,0.5815871794483787,0.5033002642556297,1.0145682928660795,-0.008132093818921542,2.6477899220885694
representational_loss,4,5,0.582010824478258,0.5055910800129009,1.0148747925483594,0.5815460331166736,0.5032599377411723,1.0150744366873654,-0.00812785854220289,2.9886891972564293
representational_loss,5,6,0.5816709069055923,0.5051634641827479,1.0378420647520197,0.5814455319233632,0.503020068492744,1.0540049753574303,-0.008173452373542217,3.3167807724209117
representational_loss,6,7,0.581257302991284,0.5044690061569573,1.0836941198979981,0.581731762764548,0.5033030096850987,1.1112353149684453,-0.008230286410040335,3.622563055190627
representational_loss,7,8,0.5812074214356736,0.5044168697195397,1.0971197643901875,0.5817209865915453,0.5032119747020273,1.1321890832016577,-0.008360886566031107,3.87213888128784
representational_loss,8,9,0.5812049269310251,0.5044195191490211,1.0948435952449587,0.581749939714172,0.5032492077054128,1.1277834447670894,-0.008356556637973134,4.162604704951327
representational_loss,9,10,0.5812046210049335,0.5044217168898365,1.0943423500410303,0.5817480306758582,0.503244536988489,1.1263905704904327,-0.008354361328481491,4.378669910907117
representational_loss,10,11,0.5810281438260897,0.5042973067211335,1.0899504917137353,0.5817224213539988,0.5031331643003124,1.0970671091183257,-0.008337031927346104,4.627606328555158
representational_loss,11,12,0.5808221469577628,0.5041304574396371,1.1004479660523028,0.5818173374816678,0.5030990327367233,1.124201570313754,-0.008447620780534506,4.87858744517539
representational_loss,12,13,0.5805884921758745,0.5039028979214315,1.127860635900321,0.5819699236815322,0.5031599828954103,1.1477685626761995,-0.008012123498549151,5.0849867438122
representational_loss,13,14,0.5805150367425874,0.5038282999618249,1.1542719724062418,0.5820034745277112,0.5032397402797569,1.1574398546909295,-0.008226719450461566,5.256995093989684
representational_loss,14,15,0.5805133652346813,0.5038195847342233,1.157921640585997,0.5820166721135123,0.5032569761023772,1.1583144560246208,-0.008259944548998623,5.4030840764753405
representational_loss,15,16,0.5804311470915436,0.503716686668056,1.1803584652359125,0.5821321090218224,0.5033097680523784,1.159989448322054,-0.008441115607011624,5.69666361783652
representational_loss,16,17,0.5804135332443356,0.5036903581297427,1.189366811269703,0.5822136107921927,0.5034155687603313,1.1587295095095407,-0.00844142507226911,5.9306257532931514
