provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference,theta,rho_reconstruction_relative_error
openai,EX05,context_removal,0.25,20,30,1.9188169172857568,1.9555097998356163,0.3173348378415999,0.1268738774877426,1.0,0.3069089575353879,1.0,0.0661208874826946,1.2729149051022256e-15
openai,EX05,context_removal,0.25,25,30,2.328671188827893,2.364743617034903,0.3109924541765675,0.1200696779380398,1.0,0.1588665248453864,1.0,0.051561456385122,1.7163448870865721e-15
openai,EX05,context_removal,0.25,30,30,2.7684918715187816,2.7936482315051463,0.286956908844904,0.1157079513545055,1.0,0.0,1.0,0.0417945786819408,2.0853085347451954e-15
openai,EX05,context_removal,0.5,3,30,0.8485372698330218,0.8835237564059464,0.2286398932408452,0.3688792043861352,0.288,0.7464219133569598,0.288,0.4347236326563765,0.0
openai,EX05,context_removal,0.5,5,30,1.044393470438154,1.0778251469761615,0.2795389869114134,0.2682869670476104,0.555,0.6878919673283098,0.555,0.2568830375155985,0.0
openai,EX05,context_removal,0.5,7,30,1.2485320972426046,1.2809845261294837,0.2935195761286399,0.2248455679441335,0.831,0.6268868892541355,0.831,0.1800879356171197,5.335335921649567e-16
openai,EX05,context_removal,0.5,10,30,1.4942492116693118,1.5339986464214397,0.3300559995327464,0.189940791945526,0.973,0.5534564367013153,0.973,0.127114533815502,2.971988918461232e-16
openai,EX05,context_removal,0.5,15,30,1.8700701325637108,1.9187881240355824,0.3507605789852223,0.1652429289095653,1.0,0.441145577262483,1.0,0.0883618886972067,7.12415864170698e-16
openai,EX05,context_removal,0.5,20,30,2.328061775274856,2.344210557311737,0.3494297297271772,0.1539335106957111,1.0,0.3042787022458454,1.0,0.0661208874826946,7.630196321532447e-16
openai,EX05,context_removal,0.5,25,30,2.821028156006676,2.850140107354446,0.3653815659639373,0.1454563202271396,1.0,0.1569599266899782,1.0,0.051561456385122,1.5742104838779626e-15
openai,EX05,context_removal,0.5,30,30,3.346256299455012,3.377528227519747,0.356115790754818,0.1398553721975128,1.0,0.0,1.0,0.0417945786819408,1.7252592782540476e-15
openai,EX05,context_removal,0.75,3,30,2.62862732022133,2.61853619519787,0.2329027193487063,1.1427264175464131,1.0,0.8792548180963784,1.0,0.4347236326563765,3.378867794866184e-16
openai,EX05,context_removal,0.75,5,30,4.017475108491498,4.0194054684815725,0.3129992121809496,1.0320212090126049,1.0,0.8154585250497842,1.0,0.2568830375155985,4.421575221824451e-16
