provider,scenario_id,perturbation_family,lambda,mmd2_previous,rho_previous,theta_previous,exceedance_previous,mmd2_current,rho_current,theta_current,exceedance_current,previous_n,current_n,transition,relative_change_mmd2,relative_change_theta,relative_change_rho,signed_change_mmd2,signed_change_theta,signed_change_rho,absolute_change_exceedance_rate,theta_decreased,mmd2_increased,rho_increased
qwen,CP03,context_removal,0.75,1.17601208717424,3.727240426565902,0.3155181723164985,1.0,1.1350498122056594,5.179839564401259,0.2191283722388533,1.0,5,7,5->7,0.03608852627267674,0.4398782279666589,0.28043322959622674,-0.03608852627267674,-0.4398782279666589,0.28043322959622674,0.0,True,False,True
qwen,CP03,context_removal,1.0,1.0954587126838031,3.471935402772747,0.3155181723164985,1.0,1.0332086314107445,4.715083769638605,0.2191283722388533,1.0,5,7,5->7,0.06024928497554487,0.4398782279666589,0.26365350598238496,-0.06024928497554487,-0.4398782279666589,0.26365350598238496,0.0,True,False,True
qwen,CP03,surface,0.25,0.7603588091712323,2.409873268435743,0.3155181723164985,1.0,0.7108681240038826,3.244071576587194,0.2191283722388533,1.0,5,7,5->7,0.0696200652360092,0.4398782279666589,0.2571454693453584,-0.0696200652360092,-0.4398782279666589,0.2571454693453584,0.0,True,False,True
qwen,CP03,surface,0.5,1.192631873356551,3.779915003311484,0.3155181723164985,1.0,1.1389904186492044,5.197822659895848,0.2191283722388533,1.0,5,7,5->7,0.04709561540558284,0.4398782279666589,0.2727887712530722,-0.04709561540558284,-0.4398782279666589,0.2727887712530722,0.0,True,False,True
qwen,CP03,surface,0.75,0.999186677985187,3.166811821484868,0.3155181723164985,1.0,0.9671664862558188,4.413698127605275,0.2191283722388533,1.0,5,7,5->7,0.03310721802750593,0.4398782279666589,0.28250375763621277,-0.03310721802750593,-0.4398782279666589,0.28250375763621277,0.0,True,False,True
qwen,CP03,surface,1.0,1.222115585349731,3.873360372168415,0.3155181723164985,1.0,1.1775061195396055,5.3735904096257565,0.2191283722388533,1.0,5,7,5->7,0.03788469976492979,0.4398782279666589,0.2791857814041738,-0.03788469976492979,-0.4398782279666589,0.2791857814041738,0.0,True,False,True
qwen,CP04,semantic,0.25,0.2764858920491611,0.9910104895475044,0.2789939107258133,0.48,0.2377646161122083,1.227467770255895,0.1937033475531831,0.801,5,7,5->7,0.16285550209320895,0.44031538045160973,0.19263828056283336,-0.16285550209320895,-0.44031538045160973,0.19263828056283336,0.32100000000000006,True,False,True
qwen,CP04,semantic,0.5,0.9894720808349424,3.546572318588577,0.2789939107258133,1.0,0.9228902927128448,4.764451953828296,0.1937033475531831,1.0,5,7,5->7,0.0721448569215955,0.44031538045160973,0.25561799070324076,-0.0721448569215955,-0.44031538045160973,0.25561799070324076,0.0,True,False,True
qwen,CP04,semantic,0.75,0.8830823547676793,3.1652388128124613,0.2789939107258133,1.0,0.8193712197683429,4.230031282982225,0.1937033475531831,1.0,5,7,5->7,0.07775612989842272,0.44031538045160973,0.25172212660778986,-0.07775612989842272,-0.44031538045160973,0.25172212660778986,0.0,True,False,True
qwen,CP04,semantic,1.0,1.077912498665065,3.863569982086112,0.2789939107258133,1.0,1.041613988895206,5.377366999861584,0.1937033475531831,1.0,5,7,5->7,0.03484833168221863,0.44031538045160973,0.28151268414717423,-0.03484833168221863,-0.44031538045160973,0.28151268414717423,0.0,True,False,True
